"","DNA","rpkm.f67","rpkm.m68","rpkm.f69","rpkm.m70","Assembly","GenBank.Accession.version","NCBI.name","chr"
"77","gene7176",0.582757860941199,1.03099342784545,2.57573425922983,1.37544130697351,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"78","gene7177",0.267492532312672,0.63098372136171,1.35119031320314,0.505074649914565,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"79","gene7178",136.699286773532,133.369449938444,127.566979232845,139.969455855854,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"80","gene7179",182.910463186597,193.339776930591,204.475160117793,206.929523265345,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"81","gene7065",323.7964141533,302.939337247119,331.053988259294,283.791034987638,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"82","gene7066",24.1293441027296,41.7607178353355,29.477630161755,56.4555249643865,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"83","gene7181",193.533076232654,200.152418247333,177.980852373652,214.910666523786,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"84","gene7182",415.218166928741,410.55273265742,390.481515184273,438.746006720959,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"85","gene7183",329.389927539779,360.114629536295,299.541051015748,359.656010947138,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"86","gene7184",2227.04800641277,2084.06622592761,1540.06781379248,2147.82068191526,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"87","gene7070",210.621854763851,237.788777765603,162.147981709935,275.407335850178,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"88","gene7071",0,0,0.567212735223689,0.424047998081105,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"89","gene7187",802.101723810714,829.720928945485,688.698402318476,759.330358312545,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"90","gene7188",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"91","gene7189",6.14135981541851,6.97510298237212,2.87240483034856,5.79800327873478,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"92","gene6965",160.224034429435,157.355097139883,150.158586187049,177.171894919658,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"93","gene7076",71.2442430770378,70.650773539099,74.7506649049263,65.9225288774073,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"94","gene7191",31.9927289402521,26.7786556537903,46.9177268986887,19.4864847490294,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"95","gene7078",9.50060320739531,7.22929553687208,5.03127097459465,4.34004926212844,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"96","gene7193",71.891510789978,73.027535186632,62.7426769100361,77.9996549209982,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"97","gene7194",2.09415324846587,2.9190102785517,3.12538840463881,1.97707148998089,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"98","gene7080",121.236164374517,118.709504444638,98.6281867406775,156.107118987254,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"99","gene7196",193.671615347643,200.515394206788,182.971009512387,175.626140028885,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"100","gene7197",542.188909978168,521.461369458106,673.509824687182,525.610152987538,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"101","gene7198",157.455283078946,148.398832781375,164.758966231467,147.977210304198,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"102","gene7199",92.1562597398294,92.6419764459083,80.5116882049443,96.9192796467558,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"103","gene7163",13.2074437829382,9.34644637267033,10.0072532571608,10.9727467693939,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"104","gene7164",1.28380938603681,2.52363065028707,1.08082195255739,0.404011014565218,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"105","gene7200",1.74712642168001,3.0909507689146,1.47088236850657,2.1992620582894,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"106","gene7201",1.38031138757923,0.813998439921522,1.45258212130898,0.43437990886898,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"107","gene7202",956.306915752069,1019.13488818406,802.261421149012,862.188760043405,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"108","gene7095",217.497254920084,207.615052267366,299.651076204337,253.747428199555,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"109","gene7096",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"110","gene7097",1.44003281051397,1.13228987965287,1.2123443643072,1.5861092237582,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"111","gene7098",1.10942527776681,1.30850249217385,0,1.04739855526033,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"112","gene7207",142.681240620009,142.316508169423,158.69749817348,173.711590286088,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"113","gene7208",554.254829277722,602.595095433018,542.676688322293,570.522459261472,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"114","gene7209",909.396137749751,906.705367168002,830.409161073865,969.796863585795,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"115","gene7100",0.730485779599544,0,1.38371896889137,0.34482256963303,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"116","gene7210",226.030160986776,235.530448591292,257.417345322659,260.35335516471,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"117","gene7211",246.955185206793,247.086055015685,227.437574026382,235.596662040375,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"118","gene7212",876.402086190107,878.615119997493,869.154630258885,877.982203367411,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"119","gene7104",0.348601815480536,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"120","gene7105",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"121","gene7215",0.453752669843275,0,2.29204982577098,0.856767734364277,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"122","gene7216",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"123","gene6959",1693.60704130876,1798.90613948741,1623.36459616932,1815.66682471667,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"124","gene7109",76.3519520186697,73.4597890343212,68.6493261297629,93.8757954114521,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"125","gene7218",0.451674413340176,0,0.28519398595471,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"126","gene7219",0,0,0.476941431830642,0.356561210301389,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"127","gene7111",1457.36863015063,1351.53600384274,1438.38261923091,1440.99632098483,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"128","gene7112",326.135811813353,323.179345686112,297.104230034818,352.457926532047,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"129","gene7113",990.513343457964,966.411954049758,1204.76735526568,986.21780789257,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"130","gene6964",14012.6053727428,14502.4460771027,14909.3373611657,14865.5639771449,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"131","gene7000",1254.76554144061,1210.91054474116,1381.71665440705,1012.29290114172,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"132","gene7001",341.459999036009,348.054121117136,325.423186610381,331.726516493113,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"133","gene7002",58.7581493125946,63.1756872593079,55.3436976036105,68.6517268115036,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"134","gene7003",393.442285428938,394.4359193254,338.065495330935,428.864631935925,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"135","gene7119",0.986155802459384,0.387704442125584,0.830231381334821,1.55170156334864,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"136","gene7005",28.4813427770143,33.5920847947492,14.0952118730521,66.1323632462723,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"137","gene6970",7.16914557522977,10.9922664932213,5.43204700227145,12.8598207107892,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"138","gene7121",107.993135422699,90.7656534448607,96.4952976649582,96.3006933425448,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"139","gene7122",904.630585500193,865.729847302488,862.191496030788,870.462036917396,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"140","gene7009",107.137111256636,127.052484728226,28.0942413340873,60.7988607275125,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"141","gene6974",11.4336904632972,11.7997004125178,13.5363812174156,12.1437513653371,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"142","gene7010",60.112844226329,58.1740293331473,66.0030015900141,58.8686273559642,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"143","gene7126",40.3908677534593,59.5417532452985,72.2750606639121,39.0542828181626,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"144","gene6978",2.82656121724027,3.33376431127095,5.94911021657117,0.889510450327243,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"145","gene6979",0.36344808444449,1.71466338040799,1.37691936707863,0.343128109831394,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"146","gene7129",3.80591862012627,6.28440304989154,12.4961927465061,4.31176077637185,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"147","gene7094",4.54889635530809,7.74967307437813,13.4037925175639,3.34022318306255,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"148","gene7016",20.9325524106945,19.9643432473924,26.6414179108524,29.3699529485317,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"149","gene7131",4.65376895542631,5.88091007718583,4.61757903101951,11.2977821691002,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"150","gene7132",94.9795741397482,112.493559578975,89.4533249785776,90.7996589272443,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"151","gene7242",54.1375825660027,54.9967209533442,172.163965207788,66.0336756121383,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"152","gene6929",19.5973061823381,18.6623188285181,12.0990539870678,15.3495110486303,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"153","gene7017",235.513312324393,249.142892943658,220.505311693293,274.615436945414,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"154","gene6932",175.000022726607,153.20130401833,177.741648741272,168.219894493097,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
