 names SAM_wt_rep2 SAM_wt_rep1 SAM_sdE3_rep2 SAM_sdE3_rep1 ORE_wt_rep2 ORE_wt_rep1 ORE_sdE3_rep2 ORE_sdE3_rep1 HYB_wt_rep2 HYB_wt_rep1 HYB_sdE3_rep2 HYB_sdE3_rep1
C16481	0	3	0	0	0	3	7	7	0	0	3	3
C16483	0	0	0	0	0	0	6	0	42	8	5	0
C16485	14	48	30	24	33	19	36	64	74	37	40	18
C16487	4	6	0	4	8	0	2	7	12	6	4	7
C16489	54	93	86	79	176	117	87	200	110	79	94	61
C16491	0	0	2	3	4	0	0	5	2	0	0	0
C16493	27	40	40	27	37	31	45	68	54	33	17	15
C16495	3	3	0	0	0	3	6	6	3	0	3	6
C16497	0	0	0	1	2	0	0	0	3	3	2	3
C16499	0	0	7	8	3	3	4	0	7	4	3	0
C16501	149	211	211	201	228	221	186	323	328	220	217	179
C16503	2	2	5	3	4	0	8	2	7	3	5	2
C16505	0	14	0	3	0	5	9	3	0	0	0	0
C16507	0	6	6	9	11	3	3	0	6	6	3	11
C16509	2	0	0	1	0	0	0	1	0	0	0	1
C16511	0	0	0	0	2	0	2	0	3	1	0	0
C16513	42	67	102	101	91	24	64	47	98	71	109	80
C16515	0	0	0	0	2	8	3	0	5	0	2	0
C16517	5	18	0	0	5	8	27	17	25	11	0	0
C16519	2	2	5	0	2	9	7	7	9	5	0	0
C16521	0	0	0	0	0	0	0	0	11	5	0	10
C16523	3	2	0	0	0	0	0	0	2	0	2	0
C16525	37	73	50	105	94	103	107	169	134	173	170	65
C16527	6	0	15	0	16	0	8	15	0	0	0	0
C16529	5	7	0	16	15	0	0	0	7	9	6	0
C16531	4	7	0	0	4	5	8	2	3	0	2	2
C16533	0	4	0	0	0	4	5	8	4	0	0	0
C16535	0	9	3	10	0	6	3	6	9	16	6	12
C16537	0	0	0	0	0	0	4	8	0	0	7	0
C16539	0	4	0	0	1	2	0	0	2	2	0	3
C16541	0	8	0	3	5	0	3	2	3	3	0	0
C16543	2	0	0	0	0	3	0	5	2	0	0	5
C16545	0	0	2	0	0	0	0	3	0	0	0	4
C16547	7	24	3	7	14	13	32	51	20	32	20	42
C16549	0	0	7	8	14	20	0	7	0	0	0	0
C16551	0	4	4	0	3	8	4	7	8	5	7	0
C16553	8	0	0	0	7	4	0	0	4	0	0	0
C16555	73	160	114	144	128	150	162	221	267	176	212	283
C16557	5	0	6	0	4	17	0	6	11	0	14	6
C16559	0	0	0	0	2	2	0	2	0	2	0	2
C16561	0	0	6	0	12	5	0	0	0	0	14	11
C16563	16	14	9	10	26	9	24	32	32	24	38	9
C16565	0	7	0	0	5	9	14	3	12	3	6	0
C16567	4	0	0	0	8	6	13	24	6	0	5	23
C16569	0	0	0	0	3	4	0	0	3	4	3	3
C16571	0	3	6	3	8	0	0	3	0	4	3	0
C16573	1023	1855	1653	1657	1919	1551	1318	1935	2259	1776	1930	1806
C16575	0	0	0	2	2	0	5	2	5	3	0	0
C16577	0	0	4	2	3	0	2	2	2	2	0	0
C16579	4	14	14	20	7	5	5	53	14	26	4	9
C16581	53	93	74	52	71	45	195	46	243	63	99	63
C16583	3	0	5	10	7	4	0	0	0	0	0	0
C16585	0	19	0	7	9	0	12	12	0	0	5	0
C16587	5	8	39	44	32	29	16	43	30	45	18	22
C16589	7	9	4	0	3	4	0	17	17	6	0	8
C16591	11	41	26	21	32	34	18	44	25	28	31	43
C16593	121	329	224	267	340	291	257	365	384	203	248	162
C16595	3	8	12	0	10	4	0	4	0	0	4	0
C16597	0	8	0	37	0	16	0	8	31	0	0	15
C16599	0	8	4	0	3	0	0	21	0	10	0	4
C16601	66	127	105	87	110	76	107	134	145	102	104	92
C16603	2	2	0	0	5	0	0	0	2	3	5	0
C16605	0	11	4	0	0	0	0	3	3	0	3	3
C16607	0	0	0	0	2	3	0	0	10	0	3	0
C16609	12	10	13	3	23	13	17	13	10	15	3	12
C16611	7	0	4	0	0	0	0	0	7	4	3	0
C16613	18	34	27	43	31	44	44	41	23	23	36	42
C16615	0	0	9	0	3	5	0	9	0	0	0	5
C16617	0	3	0	0	8	3	13	9	3	7	3	0
C16619	21	58	12	4	49	28	12	27	38	47	7	4
C16621	0	13	4	0	3	16	13	15	8	10	0	4
C16623	51	128	118	103	165	133	107	163	149	88	87	81
C16625	3	8	8	4	6	23	27	0	19	22	7	11
C16627	142	379	255	188	334	295	366	401	344	196	222	163
C16629	51	44	40	36	65	40	49	67	97	39	39	41
C16631	12	11	26	5	4	0	11	30	10	6	0	9
C16633	0	0	0	6	4	0	3	0	9	0	5	0
C16635	2	2	0	2	0	0	4	0	4	0	4	0
C16637	4	4	4	0	3	0	4	4	0	0	4	0
C16639	276	573	432	479	573	440	498	581	540	358	362	363
C16641	5	3	0	0	2	3	0	0	6	0	0	0
C16643	0	0	5	0	4	0	5	5	5	7	0	5
C16645	0	0	0	0	0	0	0	6	12	0	5	0
C16647	3	2	2	0	0	0	0	5	12	3	2	2
C16649	167	291	196	226	265	251	200	325	292	227	248	181
C16651	2	1	0	1	3	0	0	0	0	1	1	0
C16653	592	655	645	571	836	773	536	973	943	734	413	465
C16655	0	0	3	0	0	0	7	3	0	0	0	0
C16657	0	6	0	0	0	6	24	0	0	0	10	6
C16659	47	92	125	43	74	72	84	86	92	90	82	75
C16661	0	0	5	6	0	0	6	0	11	7	5	5
C16663	4	0	5	0	11	14	0	10	5	0	0	5
C16665	0	0	0	7	0	0	0	0	7	0	3	0
C16667	0	5	10	0	0	10	11	5	11	6	0	5
C16669	11	0	0	0	7	0	0	5	0	6	9	0
C16671	0	4	0	5	0	0	0	0	8	0	0	0
C16673	0	3	3	0	2	5	3	10	0	0	8	0
C16675	4	0	0	0	16	5	12	20	0	0	0	0
C16677	4	0	4	9	3	4	9	0	0	5	7	4
C16679	2	7	4	8	7	13	11	16	15	6	6	10
C16681	8	10	5	0	11	5	0	19	15	19	9	18
C16683	24	53	44	63	36	51	27	63	92	57	26	44
C16685	0	3	0	0	0	0	3	3	0	0	5	0
C16687	205	263	279	203	306	276	235	399	239	205	186	170
C16689	11	20	27	15	30	19	22	34	27	25	20	23
C16691	4	0	0	0	0	0	9	0	4	0	4	5
C16693	13	10	8	15	20	3	24	12	10	3	12	7
C16695	5	5	0	6	10	3	6	11	5	3	5	8
C16697	0	0	6	0	5	3	0	9	3	3	0	3
C16699	0	2	2	2	2	0	0	6	2	2	0	0
C16701	0	5	5	0	0	5	5	0	5	0	0	5
C16703	4	5	0	0	0	0	5	0	5	0	14	5
C16705	2	7	8	2	0	2	2	2	2	0	6	6
C16707	0	0	0	4	0	0	0	7	0	0	4	0
C16709	79	180	131	127	141	127	114	161	265	108	135	94
C16711	105	181	149	103	156	185	162	161	204	113	85	83
C16713	8	20	14	41	16	10	0	40	64	42	21	19
C16715	2	5	0	3	0	0	0	0	7	2	2	0
C16717	56	155	153	103	140	135	136	175	186	84	151	106
C16719	0	0	0	0	0	0	0	0	9	0	12	9
C16721	10	30	15	33	20	47	27	28	38	13	28	42
C16723	25	23	24	29	29	43	31	67	51	39	45	43
C16725	41	103	99	92	126	87	117	124	146	90	98	87
C16727	0	0	0	0	7	0	7	0	3	0	0	3
C16729	0	8	3	6	0	5	6	13	6	3	10	0
C16731	3	0	12	3	0	3	6	6	6	0	0	3
C16733	0	0	3	3	0	3	3	3	0	3	3	3
C16735	0	0	0	3	2	0	0	2	7	0	5	2
C16737	0	0	0	9	3	4	0	0	13	0	0	0
C16739	99	363	272	309	253	334	361	563	407	429	242	267
C16741	0	0	9	0	10	17	0	26	0	0	0	0
