tracking_id,Hyb_vg_0,Hyb_vg_1,Hyb_wt_0,Hyb_wt_1,ORE_vg_0,ORE_vg_1,ORE_wt_0,ORE_wt_1,SAM_vg_0,SAM_vg_1,SAM_wt_0,SAM_wt_1
XLOC_000201,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000202,9.16151,10.1663,10.0984,10.7976,10.7196,11.4883,11.2032,10.233,9.56588,13.6393,8.94013,10.7429
XLOC_000203,29.0421,28.1506,29.1965,27.099,27.9203,26.7472,32.5244,30.2507,25.2365,28.4858,27.5902,26.874
XLOC_000204,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000205,0,0,0,0.283112,0.971697,0.361408,0,0.466584,0,0.60138,0,0.261479
XLOC_000206,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000207,0.0250232,0.0798029,0.102027,0.0606052,0.0189091,0.0819441,0.00860317,0.0297402,0.168756,0.0521983,0.0843831,0.122497
XLOC_000208,0,0.0461619,0.0472636,0,0.0440782,0,0,0.0229911,0.0243184,0.030235,0,0
XLOC_000209,0,0.0136342,0,0.0248799,0,0,0.0175107,0,0,0,0.0247177,0.0228724
XLOC_000210,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000211,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000212,0,0,0,0.0284355,0,0,0.0418613,0,0,0,0,0
XLOC_000213,0.112086,0,0.0458168,0,0,0.0628597,0,0.0446105,0,0,0.0540549,0
XLOC_000214,26.0379,22.9042,25.0153,30.8081,24.5212,25.1346,26.1514,26.8048,23.592,28.2818,27.3443,27.4505
XLOC_000215,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000216,0,0,0,0,0,0,0,0,0.0981671,0,0,0
XLOC_000217,0,0,0,0,0.133828,0.0485589,0.0295972,0.0347039,0.0365009,0,0,0
XLOC_000218,0.0745508,0.0198135,0,0.0361946,0,0.0825983,0.0253021,0,0.0936367,0.0389591,0,0.0998757
XLOC_000219,75.7137,75.6958,74.1377,78.4941,73.2998,68.8866,70.3432,71.7179,57.9298,77.4909,70.4677,66.064
XLOC_000220,18.8205,19.3258,21.3232,18.732,16.6453,17.3312,18.3196,18.134,15.1885,17.2813,15.5284,14.6258
XLOC_000221,190.614,166.672,206.377,206.389,200.324,166.535,163.403,177.875,108.063,175.181,186.794,164.745
XLOC_000222,0,0,0,0,0.0715279,0,0.0160946,0.0186801,0.019794,0,0.0453897,0.020995
XLOC_000223,0.0560448,0.0893711,0.0609569,0.0543257,0.0566117,0.163709,0.115176,0.12559,0.0471637,0.0194932,0.0179987,0.0665623
XLOC_000224,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000225,30.476,24.3642,15.7982,13.1702,37.9787,35.9728,25.8731,22.8525,23.629,26.4853,15.508,10.4041
XLOC_000226,59.486,62.8401,68.7763,53.0321,55.8566,49.0116,58.4278,57.8418,47.9313,50.4489,53.5241,51.473
XLOC_000227,0.0199364,0,0.0650624,0.0193269,0,0,0,0.0316136,0.0503216,0,0,0.0177628
XLOC_000228,0.0563874,0.119888,0.153324,0.0364391,0,0.102947,0.0386237,0.0446993,0.158171,0.078458,0.162997,0.234419
XLOC_000229,0.0327606,0,0,0,0,0,0,0,0,0.0342275,0,0.0292413
XLOC_000230,118.586,124.177,76.5,90.9822,117.899,101.577,86.3433,82.1027,136.334,122.212,113.916,102.035
XLOC_000231,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000232,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000233,2.94762,2.7391,3.07738,2.71787,2.90709,2.73524,2.6238,2.61495,2.79136,3.33464,3.85324,3.47144
XLOC_000234,0,0.018168,0.0278793,0,0,0.0748059,0,0.013545,0.0287767,0,0.0329338,0
XLOC_000235,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000236,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000237,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000238,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000239,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000240,5.30155,3.63667,6.19383,4.9258,7.60936,3.7931,2.79814,1.90729,4.55169,4.26509,9.15887,4.29679
XLOC_000241,26.1699,21.6546,20.3201,18.1756,31.189,25.343,26.4958,24.9568,20.6063,21.2392,17.5396,16.7144
XLOC_000242,0.0370719,0,0.0151199,0,0,0.0203012,0.0201584,0,0.00823739,0.020368,0.0178601,0.017379
XLOC_000243,0.0218654,0.0426157,0.0237667,0,0.135651,0.0951428,0.010041,0.00723262,0.0584496,0.038263,0.03511,0.0129647
